[2023-10-12 16:12:37,787]ERROR: 加入解密任務: 1/96, 預計剩餘時間: 2616.902503967285(__main__)
[2023-10-12 16:13:04,912]ERROR: 加入解密任務: 2/96, 預計剩餘時間: 2576.9020438194275(__main__)
[2023-10-12 16:13:41,905]ERROR: 加入解密任務: 3/96, 預計剩餘時間: 3477.22199010849(__main__)
[2023-10-12 16:14:09,350]ERROR: 加入解密任務: 4/96, 預計剩餘時間: 2552.44002699852(__main__)
[2023-10-12 16:14:39,011]ERROR: 加入解密任務: 5/96, 預計剩餘時間: 2728.696187019348(__main__)
[2023-10-12 16:15:08,180]ERROR: 加入解密任務: 6/96, 預計剩餘時間: 2654.4097785949707(__main__)
[2023-10-12 16:15:37,172]ERROR: 加入解密任務: 7/96, 預計剩餘時間: 2609.234755039215(__main__)
[2023-10-12 16:16:05,275]ERROR: 加入解密任務: 8/96, 預計剩餘時間: 2501.134888648987(__main__)
[2023-10-12 16:16:33,472]ERROR: 加入解密任務: 9/96, 預計剩餘時間: 2481.304069519043(__main__)
[2023-10-12 16:17:01,618]ERROR: 加入解密任務: 10/96, 預計剩餘時間: 2448.603216648102(__main__)
[2023-10-12 16:17:30,379]ERROR: 加入解密任務: 11/96, 預計剩餘時間: 2473.4209575653076(__main__)
[2023-10-12 16:17:57,154]ERROR: 加入解密任務: 12/96, 預計剩餘時間: 2275.82701921463(__main__)
[2023-10-12 16:18:24,726]ERROR: 加入解密任務: 13/96, 預計剩餘時間: 2316.0090293884277(__main__)
[2023-10-12 16:18:53,404]ERROR: 加入解密任務: 14/96, 預計剩餘時間: 2380.253734111786(__main__)
[2023-10-12 16:19:21,899]ERROR: 加入解密任務: 15/96, 預計剩餘時間: 2336.5442233085632(__main__)
[2023-10-12 16:19:58,331]ERROR: 加入解密任務: 16/96, 預計剩餘時間: 2950.958564758301(__main__)
[2023-10-12 16:20:30,225]ERROR: 加入解密任務: 17/96, 預計剩餘時間: 2551.5178871154785(__main__)
[2023-10-12 16:20:57,414]ERROR: 加入解密任務: 18/96, 預計剩餘時間: 2147.8901381492615(__main__)
[2023-10-12 16:21:24,843]ERROR: 加入解密任務: 19/96, 預計剩餘時間: 2139.4015159606934(__main__)
[2023-10-12 16:21:56,415]ERROR: 加入解密任務: 20/96, 預計剩餘時間: 2430.95322060585(__main__)
[2023-10-12 16:22:24,408]ERROR: 加入解密任務: 21/96, 預計剩餘時間: 2127.443395614624(__main__)
[2023-10-12 16:22:51,099]ERROR: 加入解密任務: 22/96, 預計剩餘時間: 2001.7870366573334(__main__)
[2023-10-12 16:23:18,296]ERROR: 加入解密任務: 23/96, 預計剩餘時間: 2012.5594944953918(__main__)
[2023-10-12 16:23:46,944]ERROR: 加入解密任務: 24/96, 預計剩餘時間: 2091.258991956711(__main__)
[2023-10-12 16:24:14,338]ERROR: 加入解密任務: 25/96, 預計剩餘時間: 1972.392723083496(__main__)
[2023-10-12 16:24:41,328]ERROR: 加入解密任務: 26/96, 預計剩餘時間: 1916.213707447052(__main__)
[2023-10-12 16:25:08,483]ERROR: 加入解密任務: 27/96, 預計剩餘時間: 1900.8656859397888(__main__)
[2023-10-12 16:25:36,138]ERROR: 加入解密任務: 28/96, 預計剩餘時間: 1908.1640374660492(__main__)
[2023-10-12 16:26:03,141]ERROR: 加入解密任務: 29/96, 預計剩餘時間: 1836.124771118164(__main__)
[2023-10-12 16:26:31,387]ERROR: 加入解密任務: 30/96, 預計剩餘時間: 1892.5079612731934(__main__)
[2023-10-12 16:26:58,819]ERROR: 加入解密任務: 31/96, 預計剩餘時間: 1810.471097946167(__main__)
[2023-10-12 16:27:34,471]ERROR: 加入解密任務: 32/96, 預計剩餘時間: 2317.3169231414795(__main__)
[2023-10-12 16:28:07,141]ERROR: 加入解密任務: 33/96, 預計剩餘時間: 2090.848922729492(__main__)
[2023-10-12 16:28:39,076]ERROR: 加入解密任務: 34/96, 預計剩餘時間: 2011.8759319782257(__main__)
[2023-10-12 16:29:07,479]ERROR: 加入解密任務: 35/96, 預計剩餘時間: 1760.9382762908936(__main__)
[2023-10-12 16:29:35,605]ERROR: 加入解密任務: 36/96, 預計剩餘時間: 1715.6503639221191(__main__)
[2023-10-12 16:30:06,186]ERROR: 加入解密任務: 37/96, 預計剩餘時間: 1834.8691749572754(__main__)
